filename,source,width,height,raw_yolo_boxes,service_yolo_boxes,box_coords,confidences,max_pairwise_iou,note
774eda20-3198-40df-ac08-3fc31b244e8b.jpg,backend/uploads,210,148,1,1,"0,3,210,147",0.943,,
78358cf7-fd88-4f58-98ad-bd096b5d14ba.jpeg,backend/uploads,407,491,2,1,"17,181,398,464;10,42,397,469",0.565;0.294,0.648,dedup collapsed overlapping food boxes
7ee48ccf-df1b-444b-bbdb-f02d6d9894c5.jpg,backend/uploads,480,640,1,1,"114,45,387,324",0.325,,
84a0b148-c32a-4226-a019-88aae10137a8.jpg,backend/uploads,554,554,1,1,"55,77,470,480",0.59,,
857d1b7a-1508-48be-8c11-4f3e100e835c.jpg,backend/uploads,360,360,1,1,"0,5,358,359",0.868,,
8810a9a0-8de3-4996-bcb1-9120c8c2a281.jpg,backend/uploads,598,450,1,1,"7,44,594,418",0.836,,
89a79806-f9b1-4159-bfe7-c17aec35fde6.jpg,backend/uploads,452,678,1,1,"35,127,431,530",0.346,,
89d4c2e5-3b74-40e4-bc39-fb9f1689b2ae.jpg,backend/uploads,500,547,1,1,"8,28,475,532",0.872,,
8da30c91-769f-41b4-93bc-463e78c3b5c2.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
8e19a4ec-ad7d-4897-8f7d-c9c49c938143.jpg,backend/uploads,678,452,1,1,"0,13,677,426",0.426,,
928197dc-8b2a-4dee-ac3a-3b76caa2b51b.jpg,backend/uploads,387,516,1,1,"0,36,387,512",0.799,,
92a73a47-c82d-4bd1-b847-905a0af71480.jpg,backend/uploads,554,554,1,1,"3,2,512,518",0.78,,
998d1bb2-d71b-4d8f-9ca5-958b9b653a69.jpg,backend/uploads,276,183,0,0,,,,
9c2214f4-b619-4804-9a00-9c0640d0202b.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
9c49738c-f71a-4096-88ea-9ae640114b13.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
9d4e807a-bebc-4c7c-b07e-4f1245adde08.jpg,backend/uploads,500,500,1,1,"2,4,500,498",0.924,,
a8744eee-1d30-49ef-9064-e4dbeaa69445.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
a8aa528a-d0c2-4076-b6cd-5801f5c0b0b6.jpg,backend/uploads,517,593,1,1,"23,68,504,552",0.804,,
afb71895-bc3a-469d-8552-a14537f00d73.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
b0e4562c-5e34-49b0-b15c-6a5cc461df24.jpg,backend/uploads,554,554,1,1,"1,30,554,522",0.892,,
b29e9699-d999-40d8-9383-4700391d9105.jpg,backend/uploads,554,554,1,1,"17,98,546,445",0.69,,
b30160d6-7e83-405b-bf21-d198e1cb1423.jpg,backend/uploads,500,500,2,1,"154,36,395,411;150,23,463,495",0.56;0.546,0.612,dedup collapsed overlapping food boxes
b9f0992b-b57d-409e-88e8-b31f0ef524f9.jpg,backend/uploads,500,650,1,1,"10,76,490,585",0.823,,
baea9890-6256-4b4a-8e00-f7430bfd0c9c.jpeg,backend/uploads,407,491,2,1,"17,181,398,464;10,42,397,469",0.565;0.294,0.648,dedup collapsed overlapping food boxes
bb7d7b85-bdfe-4e5d-8d51-398bce4991f8.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
bc68b08b-4223-4b51-8fbe-458482ee818b.jpg,backend/uploads,500,500,1,1,"0,9,500,500",0.906,,
c66f4d6a-8dd9-401f-861b-e8d8f047a75e.jpg,backend/uploads,500,500,1,1,"0,9,500,500",0.906,,
c986e2e9-a883-4b4a-a2be-c244dc321a2c.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
cb2987d8-da2c-4b5e-8772-3025082d808e.jpg,backend/uploads,499,375,1,1,"5,4,492,370",0.878,,
cc2379fd-1e35-452e-a30d-6cd927798c0e.jpg,backend/uploads,210,148,1,1,"0,3,210,147",0.943,,
cd1445c1-2ab5-4272-a12f-eed7afcf5c52.jpg,backend/uploads,183,276,1,1,"13,56,162,209",0.468,,
cd8692f6-4c83-4f15-9077-f8e57a47e0ba.jpg,backend/uploads,452,678,1,1,"7,151,432,642",0.483,,
cec3c4d9-b6e5-49cc-a256-7615f7d7f822.jpg,backend/uploads,583,526,1,1,"1,39,580,484",0.755,,
cf485a13-4aa1-4931-b3f2-2ec069a71e3b.jpg,backend/uploads,554,554,1,1,"0,0,548,550",0.817,,
d3726f31-e3cd-44bc-9261-3475a9d81ebf.jpg,backend/uploads,500,500,1,1,"0,98,495,492",0.892,,
d4835ffa-3c85-4eee-8158-f5c9740e9ee6.jpg,backend/uploads,554,554,1,1,"0,2,554,543",0.953,,
d85fdc76-808e-4ed6-82ac-e8ac51025ca8.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
d9b434d7-004b-4bc9-bc02-e15ca8b7cbeb.jpg,backend/uploads,515,388,1,1,"138,74,410,290",0.647,,
dc0f1ac3-fda3-485b-a07b-32219f67a734.jpg,backend/uploads,183,276,1,1,"13,56,162,209",0.468,,
dff33208-99f0-4d50-a754-9c1bbcde2f5d.jpg,backend/uploads,447,447,1,1,"91,37,447,381",0.747,,
e00f60fb-9401-47ed-9aa9-4fcde387e1cf.jpg,backend/uploads,554,554,1,1,"9,5,553,478",0.787,,
e118cc4c-0666-4d30-b3b1-017921ed7ffc.png,backend/uploads,1024,1024,1,1,"11,73,997,932",0.657,,
